product_id,title,authors,original_price,current_price,quantity,category,n_review,avg_rating,pages,manufacturer,cover_link
169546331,Sức Mạnh Của Việc Đặt Câu Hỏi Đúng (Tái Bản),Mihiro Matsuda,99000,65000,227.0,Sách kỹ năng làm việc,17,4.6,228.0,Nhà Xuất Bản Công Thương,https://salt.tikicdn.com/ts/product/ca/f1/6e/7d036bcbbf133372018ea7227ce42ff1.jpg
15397971,Hà Nội Băm Sáu Phố Phường (Tái bản 2019),Thạch Lam,50000,30000,1899.0,Truyện ngắn - Tản văn - Tạp Văn,311,5.0,124.0,,https://salt.tikicdn.com/ts/product/29/57/21/e96238be49687ba49aad235ec1ae5cb8.jpg
195801644,Black Jack - Tập 13 (Bìa Cứng),Osamu Tezuka,135000,117400,261.0,Black Jack - Tập 13 (Bìa Cứng),27,5.0,,NXB Trẻ,https://salt.tikicdn.com/ts/product/27/5a/29/2bfc6b2d33fe96fc002e5486ddcff889.jpg
168559521,Sự Trung Thực Của Xác Chết – Ghi Chép Của Một Nhà Pháp Y,Hajime Nishio,99000,69300,1105.0,Sự Trung Thực Của Xác Chết – Ghi Chép Của Một Nhà Pháp Y,188,5.0,240.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/f4/bc/14/c202a8b6953aebc2a4f38696aea7241e.jpg
116158321,7 Chiến Lược Thịnh Vượng Và Hạnh Phúc (Tái Bản 2021),Jim Rohn,85000,59500,782.0,Sách tư duy - Kỹ năng sống,103,4.8,,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/70/ae/ab/ad4f31f15b42310166a370aa69b92bd0.jpg
77230663,Combo 2 Cuốn: Tâm Lý Học Tội Phạm,Stanton E. Samenow,288000,172800,7445.0,Lĩnh vực khác,1893,4.8,664.0,Nhà Xuất Bản Đại Học Kinh Tế Quốc Dân,https://salt.tikicdn.com/ts/product/b5/07/74/31377e044579aa03901b4df1c9ae90fe.jpg
29591064,Hackers IELTS : Listening,Viện ngôn ngữ Hackers,179000,131000,5664.0,Sách Học Tiếng Anh,940,4.8,300.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/c4/cb/52/0a4395585acec83ed712d8cc690bf711.jpg
143219851,Đánh Bại Phố Wall  (Tái Bản),John Rothchild,219000,145000,286.0,Bài học kinh doanh,45,4.8,524.0,Nhà Xuất Bản Lao Động,https://salt.tikicdn.com/ts/product/25/4d/98/1b52f6d3a1b5fc8fac4ed681af59f099.jpg
55064570,Người Truyền Ký Ức (Giải Thưởng Boston Globe-Horn Book)(Tái Bản 2020),Lois Lowry,80000,48000,58.0,Tiểu Thuyết,9,4.7,248.0,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/6b/a9/64/d5df4283840116fafc320292d8c547d6.jpg
197353397,Kaguya-Sama: Cuộc Chiến Tỏ Tình - Tập 1,Aka Akasaka,40000,38000,1064.0,Kaguya-Sama: Cuộc Chiến Tỏ Tình - Tập 1,98,5.0,,Nhà Xuất Bản Kim Đồng,https://salt.tikicdn.com/ts/product/6e/d7/0f/963a3092d0e3db1e44821aacf4f0a64b.jpg
128649312,21 Nguyên Tắc Tự Do Tài Chính (Tái Bản),Brian Tracy,55000,38500,1157.0,"Sách tài chính, tiền tệ",116,5.0,106.0,Nhà Xuất Bản Công Thương,https://salt.tikicdn.com/ts/product/16/4b/7a/79be0c1ab963a8bc29961ada3d3a633d.jpg
29290844,Kho Tàng Truyện Thần Thoại Cổ Đại Trung Quốc (Không CD),Thế Giới Hoa Ngữ,22000,22000,12.0,Sách Học Tiếng Hoa,6,5.0,208.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/1f/62/63/b92514c1bde8bd3f4416a24f2a5922f0.jpg
100347903,Nói Một Cách Đơn Giản,Rhee Dongwoo,129000,98000,628.0,Sách tư duy - Kỹ năng sống,73,5.0,264.0,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/f6/90/1a/7798d89cd8c6808df55571c8af40a286.jpg
77324132,Phụ Nữ Hiểu Biết Sẽ Có Cuộc Sống Đẳng Cấp Hơn (Tặng Kèm Bookmark),Jenny Kiều,119000,76001,3032.0,Truyện ngắn - Tản văn - Tạp Văn,622,5.0,368.0,Nhà Xuất Bản Văn Học,https://salt.tikicdn.com/ts/product/ee/0c/67/5cd1a886d8c625f64b7a18ff2c38248b.jpg
197657918,Sát Nhân Liên Hoàn Kế (Tập 1),Thân Tử Thần,154000,108001,60.0,Truyện trinh thám,13,5.0,408.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/48/e0/72/310b0f70a8844534c7f236c16687f76b.jpg
200852592,Harry Potter Và Phòng Chứa Bí Mật,J.K.Rowling,170000,114000,43.0,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,4,5.0,,NXB Trẻ,https://salt.tikicdn.com/ts/product/2b/eb/4b/e7f7a34735a8b6320b79214cc18b3e62.jpg
3955683,Chuyện Con Ốc Sên Muốn Biết Tại Sao Nó Chậm Chạp (Tái Bản),Luis Sepulveda,39000,23400,5828.0,Sách tư duy - Kỹ năng sống,301,4.8,82.0,,https://salt.tikicdn.com/ts/product/15/f3/ee/a959ae23fcedf4f09ca61f1929ac3b94.jpg
185067342,Tô Bình Yên Vẽ Hạnh Phúc (Tái Bản),Kulzsc,88000,69000,1551.0,Sách Tô Màu Dành Cho Người Lớn,179,5.0,96.0,Nhà Xuất Bản Phụ Nữ,https://salt.tikicdn.com/ts/product/27/a2/c8/10ecb5d4732034d515561e0750778a36.jpg
52004412,D. Trump - Nghệ Thuật Đàm Phán (Tái bản 2020),Donald J.Trump & Tony Schwartz,109000,77800,3379.0,"Sách quản trị, lãnh đạo",470,4.8,328.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/f4/99/63/ab805c6b5149f6fd647d7dfdd5157626.jpg
198707246,Osho - Tâm Trí Tỉnh Thức,Osho,139000,87000,65.0,Sách tư duy - Kỹ năng sống,4,5.0,256.0,Nhà Xuất Bản Lao Động,https://salt.tikicdn.com/ts/product/f1/92/d6/febbb1285da92f154640aed366cfd3b0.png
76278485,Ảo Dạ (Tái Bản),Higashino Keigo,179000,107400,817.0,Truyện trinh thám,206,5.0,584.0,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/9e/01/6f/a0bb7085a45d4cda06c7424c5288b35b.jpg
45349383,Hashtag No.2 Fashion - Kinh Doanh Thời Trang Tại Thị Trường Việt Nam,.,200000,140000,1768.0,Sách Marketing - Bán hàng ,213,4.8,132.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/a0/fe/92/77e072be470cce85f7e358036f27e498.JPG
203757836,Dragon Ball Full Color - Phần Năm: Truy Lùng Cell Bọ Hung - Tập 6,Akira Toriyama,77000,77000,335.0,Dragon Ball Full Color - Phần Năm: Truy Lùng Cell Bọ Hung - Tập 6,30,5.0,,Nhà Xuất Bản Kim Đồng,https://salt.tikicdn.com/ts/product/57/42/01/3a65eabd6eacae572dfbf49078d46898.jpg
196515664,Anh Em Phi Hành Gia - Tập 33,Chuya Koyama,45000,39100,206.0,Anh Em Phi Hành Gia - Tập 33,16,5.0,,NXB Trẻ,https://salt.tikicdn.com/ts/product/59/ab/2f/90021f465b423769ecf2d3bfe8fa7dc1.jpg
75697499,Đảo Mộng Mơ - Ấn Bản Kỷ Niệm 10 Năm Xuất Bản Lần Đầu,Nguyễn Nhật Ánh,200000,116001,1876.0,Văn học thiếu nhi,446,5.0,220.0,Nhà Xuất Bản Văn Học,https://salt.tikicdn.com/ts/product/e6/ba/47/1cbe5a75d37e2f3a80a7ac05e631c300.jpg
10767515,Phân Tâm Học Nhập Môn,,159000,95400,3487.0,Sách tư duy - Kỹ năng sống,392,4.7,,,https://salt.tikicdn.com/ts/product/e7/e5/cb/9bf2891509bcae066c618f71415b04a7.jpg
199728871,Sách Seneca: Những Bức Thư Đạo Đức – Chủ Nghĩa Khắc Kỷ Trong Đời Sống - Tập 2,Lucius Annaeus Seneca,159000,154000,166.0,Sách nghệ thuật sống đẹp,13,5.0,556.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/fa/1f/eb/ea30e2c56f4a6168a2a9f57202a5dd7f.png
76388962,"Chúng Ta Rồi Sẽ Hạnh Phúc, Theo Những Cách Khác Nhau [Tặng Kèm: 01 Bookmark]",Thảo Thảo,86000,58100,7991.0,Truyện ngắn - Tản văn - Tạp Văn,1691,4.8,208.0,Nhà Xuất Bản Văn Học,https://salt.tikicdn.com/ts/product/da/14/f7/ee4fafb6ea7cb9e25a6c65ac2774773b.jpg
192909304,Lên Tàu Cùng Socrates - Đi Tìm Ý Nghĩa Cuộc Sống Từ Các Triết Gia,Eric Weiner,195000,144000,250.0,Triết Học,24,4.8,436.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/4f/3a/17/35a86bf0836b2ff328033b8bc1c65833.jpg
2716247,Quẳng Gánh Lo Đi Và Vui Sống (Bìa Cứng),Dale Breckenridge Carnegie,108000,71200,5842.0,Sách nghệ thuật sống đẹp,574,4.8,320.0,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/media/catalog/producttmp/c0/c8/df/fffed7434595522ed4d2801992645c78.jpg
201003771,Vẽ Vời Vẩn Vơ - 5,Akiko Higashimura,58000,52100,84.0,Vẽ Vời Vẩn Vơ - 5,7,5.0,144.0,Nhà Xuất Bản Hồng Đức,https://salt.tikicdn.com/ts/product/de/61/32/a12269607b27cd0fa2f86451831efa3c.jpg
175845415,Bí Quyết Tìm Kiếm Mặt Bằng Kinh Doanh - Đến Sahara Mở Quán Trà Đá - Bộ Sách Khởi Nghiệp Bán Lẻ,,199000,158400,1003.0,Sách kỹ năng làm việc,117,5.0,248.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/a4/58/46/ce9ebae3b41660fca6f08347d22b5a7d.png
31375299,Ăn Xanh Để Khỏe,Norman W.Walker,85000,59500,3009.0,Sách tư duy - Kỹ năng sống,258,4.8,262.0,,https://salt.tikicdn.com/ts/product/85/b6/1d/8e6c058812a798235540f5c9f2fdd9b8.jpg
121635154,Điều Đẹp Nhất Có Khi Là Buông Tay (Tặng Kèm Bookmark),Thought Catalog,72000,54000,3281.0,Truyện ngắn - Tản văn - Tạp Văn,453,4.8,160.0,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/5e/f8/bf/4a0f0f55c62257eca3e3b39fc69185f9.jpg
203899324,Unstoppable Us – Không Thể Dừng Bước - Tập 1: Loài Người Chinh Phục Thế Giới Như Thế Nào,,269000,213999,15.0,Lịch Sử Thế Giới,0,0.0,,Nhà Xuất Bản Tri Thức,https://salt.tikicdn.com/ts/product/4f/1e/1f/07060300b98622a514307187c4a1779a.png
197719874,Suy Nghĩ Thống Kê Trong Đời Thường,Nguyễn Văn Tuấn,160000,136000,804.0,Sách kỹ năng làm việc,91,5.0,392.0,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/ts/product/55/5e/a6/dd0a224ea101cbefb2770bb9c4f5a30d.jpg
195545266,Hài Hước Một Chút Thế Giới Sẽ Khác Đi,The Book Worm,80000,46000,84.0,Sách tư duy - Kỹ năng sống,3,4.0,228.0,Nhà Xuất Bản Thanh Niên,https://salt.tikicdn.com/ts/product/48/e8/3b/c995bdcb3afe1b906e874f6c1d56fc63.jpg
197344449,Ký Ức Lịch Sử Về Sài Gòn Và Các Vùng Phụ Cận,Trương Vĩnh Ký,55000,40700,72.0,Truyện ngắn - Tản văn - Tạp Văn,8,4.8,,NXB Trẻ,https://salt.tikicdn.com/ts/product/7e/2c/11/18e526e387bde270dae34cc5f10d166f.jpg
625185,Sến,Lão Phạm,68000,27200,305.0,Truyện ngắn - Tản văn - Tạp Văn,11,5.0,224.0,,https://salt.tikicdn.com/media/catalog/product/s/e/sen-01.u5131.d20170526.t155535.534019.jpg
206840682,Quyền Lực Của Địa Lý - The Power Of Geography,Tim Marshall,280000,221000,164.0,Sách kinh tế học,14,4.6,559.0,Nhà Xuất Bản Phụ Nữ,https://salt.tikicdn.com/ts/product/6c/87/e7/db72a8050a15d86d8102cd21ab1d8b11.jpg
173174175,Suy Tưởng( Tặng kèm sổ tay),Marcus Aurelius,170000,153000,140.0,Sách tư duy - Kỹ năng sống,24,5.0,392.0,Nhà Xuất Bản Tri Thức,https://salt.tikicdn.com/ts/product/36/b0/45/ffb7b24f52ff800fa06c8020d3e44680.jpg
87959748,451 Độ F,Ray Bradbury,99000,59400,1636.0,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,368,5.0,232.0,Nhà Xuất Bản Văn Học,https://salt.tikicdn.com/ts/product/13/4f/08/cec6bf075eb1724d3b5da6e073c1079b.jpg
80628929,Từ IQ Đến EQ - Nắm Bắt Thành Công Qua Trí Tuệ Cảm Xúc,Trương Manh,91000,59001,5077.0,Sách tư duy - Kỹ năng sống,1046,4.8,240.0,Nhà Xuất Bản Thanh Niên,https://salt.tikicdn.com/ts/product/38/4f/4e/bdaf60975e2ea5761612075e11d287ce.jpg
200780124,Tản mạn kiến trúc Nam Bộ - Một biên khảo về kiến trúc dân dụng miền Nam (Từ cuối thế kỷ 19 đến cuối thế kỷ 20),Nhóm tác giả Tản Mạn Kiến Trúc,215000,167000,105.0,Mỹ Thuật - Kiến Trúc,9,5.0,286.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/ee/6d/24/219d791d1ff385ca788fc33c349da98e.jpg
73222689,Pep Guardiola - Một Cách Thắng Khác,Guillem Balague,229000,156000,146.0,Tiểu sử - Hồi ký,30,5.0,596.0,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/6c/e4/9d/7238777a037d4f77cbf547478f393199.jpg
17960478,RIO Book No.3 - Hình Ảnh Điều Khiển Tâm Trí - 33 Kỹ Thuật Điều Khiển Tâm Lý Trong Truyền Thông Thị Giác,Andrews - Van leeuwen - Van Baaren ,155000,108500,2127.0,Sách Marketing - Bán hàng ,213,4.8,,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/4b/0c/87/40e137565d61b3c3504e53afc43265e9.jpg
63587072,Tĩnh Lặng (Tái Bản Lần Thứ 11/2020),Thích Nhất Hạnh,69000,48300,1191.0,Sách giáo dục,163,5.0,188.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/f7/ce/36/9553863c86683205724ceb94b8997758.jpg
204363212,Kaguya-Sama: Cuộc Chiến Tỏ Tình - Tập 5,Aka Akasaka,40000,39100,278.0,Kaguya-Sama: Cuộc Chiến Tỏ Tình - Tập 5,14,5.0,,Nhà Xuất Bản Kim Đồng,https://salt.tikicdn.com/ts/product/e1/7b/77/d9f4e7d06a6671b98a2a532c5a3f85fe.jpg
57518431,"Cứ Khóc, Cứ Tan Vỡ Và Trưởng Thành",Yến Nhi,78000,53100,3004.0,Truyện ngắn - Tản văn - Tạp Văn,631,4.7,208.0,Nhà Xuất Bản Văn Học,https://salt.tikicdn.com/ts/product/b1/ba/73/7f1af98058c5948c8e8f818dd307673b.jpg
176752838,Thay Đổi Tí Hon Hiệu Quả Bất Ngờ - Atomic Habits,James Clear,189000,160650,103.0,Sách tư duy - Kỹ năng sống,4,5.0,,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/8a/34/8f/fd5b0034a01b8750dc1705eb7276c5a1.jpg
126474205,Làm giàu từ chứng khoán bằng phương pháp VSA chính gốc: Nghiên cứu chuyên sâu về cách giao dịch của Wyckoff,Rubén Villahermosa Chaves,499000,499000,3273.0,"Sách tài chính, tiền tệ",636,4.8,278.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/05/4e/5c/3678985f9e4849b14700f086aa70bb3a.jpg
197657913,Những Giấc Mơ Ở Hiệu Sách Morisaki,Yagisawa Satoshi,75000,45000,65.0,Truyện ngắn - Tản văn - Tạp Văn,9,5.0,180.0,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/54/f7/ca/03c0c61cea0582a3845944a31dbbdc7f.jpg
13828946,Thơ Xuân Diệu,Xuân Diệu,38000,30000,2146.0,Thơ,364,5.0,180.0,,https://salt.tikicdn.com/ts/product/dc/11/4c/c3e1b9cba245d34d27e371df32f49a3e.jpg
