Gender,Caste,coaching,Class_ten_education,twelve_education,medium,Class_X_Percentage,Class_XII_Percentage,Father_occupation,Mother_occupation,time,Performance
male,General,NO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,DOCTOR,OTHERS,ONE,Excellent
male,OBC,WA,SEBA,AHSEC,OTHERS,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE,TWO,Excellent
male,OBC,OA,OTHERS,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,TWO,Excellent
male,General,WA,SEBA,AHSEC,OTHERS,Excellent,Excellent,SCHOOL_TEACHER,SCHOOL_TEACHER,ONE,Excellent
male,General,OA,SEBA,CBSE,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,HOUSE_WIFE,TWO,Excellent
male,General,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,HOUSE_WIFE,TWO,Excellent
female,General,OA,CBSE,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,DOCTOR,ONE,Excellent
male,OBC,NO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,ONE,Excellent
female,General,NO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,ONE,Excellent
female,General,OA,CBSE,CBSE,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,HOUSE_WIFE,TWO,Excellent
male,General,OA,CBSE,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,ONE,Excellent
male,General,NO,CBSE,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,DOCTOR,ONE,Excellent
female,General,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,BANK_OFFICIAL,SCHOOL_TEACHER,TWO,Excellent
male,General,NO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,TWO,Excellent
male,General,WA,SEBA,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,ONE,Excellent
male,General,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO,Excellent
male,General,NO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,COLLEGE_TEACHER,ONE,Excellent
female,General,OA,CBSE,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE,TWO,Excellent
male,General,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,SCHOOL_TEACHER,TWO,Excellent
male,General,OA,SEBA,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,SCHOOL_TEACHER,ONE,Excellent
female,OBC,NO,SEBA,AHSEC,ASSAMESE,Excellent,Excellent,COLLEGE_TEACHER,COLLEGE_TEACHER,ONE,Excellent
male,General,NO,SEBA,AHSEC,OTHERS,Vg,Vg,BANK_OFFICIAL,SCHOOL_TEACHER,ONE,Excellent
male,General,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,SCHOOL_TEACHER,ONE,Excellent
